symbol,prevprice,currprice,diffP
BSCI,21.14,21.14,0.0
BUR,0.54,0.54,0.0
BURG,0.3371,0.3371,0.0
BUYN,9.69,9.69,0.0
BUZ,35.18,35.18,0.0
BVNSC,100.04,100.04,0.0
BWINA,23.99,23.99,0.0
BWV,75.53,75.53,0.0
BXE,0.5,0.5,0.0
CAAS,1.89,1.89,0.0
CADC,2.61,2.61,0.0
CAFE,10.43,10.43,0.0
CALL,8.68,8.68,0.0
CASM,2.45,2.45,0.0
CATYW,22.21,22.21,0.0
CAW,1.53,1.53,0.0
CBAK,0.67,0.67,0.0
CBND,32.7,32.7,0.0
CCUR,4.86,4.86,0.0
CELGZ,0.469899,0.469899,0.0
CETXP,0.81,0.81,0.0
CHIM,15.01,15.01,0.0
CHKE,0.85,0.85,0.0
CHOC,38.8275,38.8275,0.0
CIC,10.22,10.22,0.0
CIVBP,25.4121,25.4121,0.0
CJNK,26.1915,26.1915,0.0
CKX,8.4,8.4,0.0
CLDC,1.26,1.26,0.0
CLIRW,0.8,0.8,0.0
CLRBW,0.03,0.03,0.0
CLRBZ,0.062351,0.062351,0.0
CLYH,26.07,26.07,0.0
CMDT,37.23,37.23,0.0
CMFN,7.21,7.21,0.0
CMSS,2.8,2.8,0.0
CMSSR,0.3,0.3,0.0
CMSSU,7.21,7.21,0.0
CMSSW,0.19,0.19,0.0
CNAC,9.92,9.92,0.0
CNACR,0.17,0.17,0.0
CNACU,11.43,11.43,0.0
CNACW,0.05,0.05,0.0
CNDF,34.0,34.0,0.0
CNHX,29.12,29.12,0.0
CNSF,24.4201,24.4201,0.0
CNTF,0.66,0.66,0.0
CNY,44.25,44.25,0.0
COMG,22.81,22.81,0.0
COWB,47.41,47.41,0.0
CPTAL,19.7,19.7,0.0
CRUSC,99.99,99.99,0.0
CRVP,0.9652,0.9652,0.0
CTIB,1.53,1.53,0.0
CTNN,35.05,35.05,0.0
CTRV,5.06,5.06,0.0
CTX,25.2,25.2,0.0
CTXRW,0.3,0.3,0.0
CUBS,25.15,25.15,0.0
CUMB,24.84,24.84,0.0
CUPM,32.74,32.74,0.0
CUR,0.47,0.47,0.0
CWAI,24.758,24.758,0.0
CYAN,2.21,2.21,0.0
CYHHZ,0.0,0.0,0
CYTR,0.31,0.31,0.0
CYTX,0.26,0.26,0.0
CYTXW,0.02,0.02,0.0
DAG,2.0,2.0,0.0
DBAP,26.86,26.86,0.0
DBBR,11.96,11.96,0.0
DBES,28.96,28.96,0.0
DBKO,25.43,25.43,0.0
DBMX,18.8,18.8,0.0
DBRT,27.91,27.91,0.0
DBUK,20.85,20.85,0.0
DCNG,16.736,16.736,0.0
DDBI,28.94,28.94,0.0
DDEZ,30.5702,30.5702,0.0
DDJP,28.01,28.01,0.0
DDP,49.17,49.17,0.0
DEE,77.0,77.0,0.0
DEMG,24.99,24.99,0.0
DEMS,20.44,20.44,0.0
DESC,32.12,32.12,0.0
DEST,1.48,1.48,0.0
DEWJ,28.2,28.2,0.0
DEZU,29.17,29.17,0.0
DFBHU,10.05,10.05,0.0
DFVS,13.495,13.495,0.0
DGSE,1.4,1.4,0.0
DHCP,1.01,1.01,0.0
DHDG,21.2861,21.2861,0.0
DHVW,32.32,32.32,0.0
DHXM,1.11,1.11,0.0
DIRT,30.44,30.44,0.0
DLBL,75.08,75.08,0.0
DLBR,40.17,40.17,0.0
DLBS,3.25,3.25,0.0
DNO,47.39,47.39,0.0
DOTA,5.25,5.25,0.0
DOTAR,0.39,0.39,0.0
DOTAU,10.72,10.72,0.0
DOTAW,0.31,0.31,0.0
DPK,15.7756,15.7756,0.0
DRR,65.0,65.0,0.0
DSUM,22.19,22.19,0.0
DTRM,0.28,0.28,0.0
DTYS,120.0,120.0,0.0
DVCR,3.49,3.49,0.0
DVEM,26.17,26.17,0.0
DVHL,4.1525,4.1525,0.0
DVYL,29.6516,29.6516,0.0
DWAC,25.15,25.15,0.0
DWAQ,137.06,137.06,0.0
DWCR,21.0,21.0,0.0
DWLV,30.79,30.79,0.0
DWTR,35.305,35.305,0.0
DYB,21.98,21.98,0.0
DYNC,100.32,100.32,0.0
DYSL,1.05,1.05,0.0
DYY,2.05,2.05,0.0
EACQ,10.21,10.21,0.0
EACQU,10.78,10.78,0.0
EAGL,10.04,10.04,0.0
EAGLU,10.51,10.51,0.0
EAGLW,1.42,1.42,0.0
EASTW,1.92,1.92,0.0
ECCA,25.95,25.95,0.0
ECCZ,25.18,25.18,0.0
EDBI,28.12,28.12,0.0
EEB,39.2,39.2,0.0
EEI,15.48,15.48,0.0
EFBI,15.8,15.8,0.0
EFFE,24.97,24.97,0.0
EGI,0.33,0.33,0.0
EIA,10.22,10.22,0.0
EIO,11.77,11.77,0.0
EIP,11.73,11.73,0.0
EIV,11.86,11.86,0.0
ELEC,10.53,10.53,0.0
ELECU,10.7,10.7,0.0
ELON,8.45,8.45,0.0
EMBU,20.47,20.47,0.0
EMEM,23.5,23.5,0.0
EMI,12.59,12.59,0.0
EMITF,1.08,1.08,0.0
EMJ,12.09,12.09,0.0
EMLB,80.8,80.8,0.0
EQFN,10.58,10.58,0.0
EQLT,37.0,37.0,0.0
EQWM,49.07,49.07,0.0
EQWS,43.52,43.52,0.0
ERGF,26.13,26.13,0.0
ERN,1.63,1.63,0.0
ERO,45.69,45.69,0.0
ESGF,30.81,30.81,0.0
ESGL,32.07,32.07,0.0
ESGW,22.25,22.25,0.0
ESTR,0.2493,0.2493,0.0
ESTRW,0.0095,0.0095,0.0
EUFL,11.92,11.92,0.0
EVFTC,100.05,100.05,0.0
EVGBC,100.06,100.06,0.0
EVIX,11.25,11.25,0.0
EVLMC,100.04,100.04,0.0
EVO,12.57,12.57,0.0
EVP,11.51,11.51,0.0
EVSTC,100.02,100.02,0.0
EWEM,31.285,31.285,0.0
FANZ,22.04,22.04,0.0
FCOR,53.01,53.01,0.0
FCRE,0.76,0.76,0.0
FELP,0.1582,0.1582,0.0
FFBCW,18.1,18.1,0.0
FHY,11.85,11.85,0.0
FIEG,156.0,156.0,0.0
FINZ,6.12,6.12,0.0
FISK,8.6,8.6,0.0
FLAG,24.05,24.05,0.0
FLIO,25.975,25.975,0.0
FMDG,25.03,25.03,0.0
FNCF,34.76,34.76,0.0
FNTE,9.84,9.84,0.0
FNTEU,10.8,10.8,0.0
FNTEW,1.58,1.58,0.0
FOANC,100.04,100.04,0.0
FOIL,27.89,27.89,0.0
FONE,46.7,46.7,0.0
FSAC,10.12,10.12,0.0
FSACU,10.61,10.61,0.0
FSACW,0.77,0.77,0.0
FTEO,5.59,5.59,0.0
FTFT,1.16,1.16,0.0
FTNW,1.5,1.5,0.0
FTVA,24.47,24.47,0.0
FTW,38.7897,38.7897,0.0
FWDD,51.08,51.08,0.0
FWDI,27.21,27.21,0.0
FXCH,69.6913,69.6913,0.0
FXS,94.4897,94.4897,0.0
FXSG,70.23,70.23,0.0
GAINN,25.11,25.11,0.0
GAINO,25.41,25.41,0.0
GARD,22.2855,22.2855,0.0
GASX,16.0,16.0,0.0
GAZB,37.92,37.92,0.0
GBB,36.91,36.91,0.0
GCVRZ,0.8711,0.8711,0.0
GDXS,14.28,14.28,0.0
GDXX,33.89,33.89,0.0
GEMP,0.3,0.3,0.0
GFNSL,24.01,24.01,0.0
GHII,28.805,28.805,0.0
GHS,33.54,33.54,0.0
GIG,11.15,11.15,0.0
GJH,9.5831,9.5831,0.0
GJO,21.525,21.525,0.0
GJT,18.3815,18.3815,0.0
GJV,26.2635,26.2635,0.0
GLADN,25.44,25.44,0.0
GLDW,127.33,127.33,0.0
GMFL,28.23,28.23,0.0
GNRX,22.05,22.05,0.0
GOODO,26.77,26.77,0.0
GOODP,26.49,26.49,0.0
GOP,22.42,22.42,0.0
GPAQ,10.67,10.67,0.0
GPAQU,10.79,10.79,0.0
GPIC,13.71,13.71,0.0
GRBIC,100.05,100.05,0.0
GRI,48.42,48.42,0.0
GRMY,23.935,23.935,0.0
GRR,11.0,11.0,0.0
GRWN,19.72,19.72,0.0
GSC,12.09,12.09,0.0
GSD,30.56,30.56,0.0
GSHT,10.51,10.51,0.0
GSHTU,10.92,10.92,0.0
GSHTW,2.2,2.2,0.0
GTYHU,10.87,10.87,0.0
GTYHW,0.82,0.82,0.0
GYB,25.0,25.0,0.0
GYC,22.14,22.14,0.0
GYRO,17.0,17.0,0.0
GZT,7.8,7.8,0.0
HACV,29.27,29.27,0.0
HACW,29.43,29.43,0.0
HAHA,33.05,33.05,0.0
HAO,25.13,25.13,0.0
HBK,15.39,15.39,0.0
HCAPZ,20.1,20.1,0.0
HCOR,49.8767,49.8767,0.0
HCRF,31.82,31.82,0.0
HDLV,6.48,6.48,0.0
HECO,36.6101,36.6101,0.0
HEFV,27.83,27.83,0.0
HEMV,26.93,26.93,0.0
HEUS,29.94,29.94,0.0
HEUV,24.61,24.61,0.0
HEVY,33.04,33.04,0.0
HFBL,24.0,24.0,0.0
HFGIC,99.99,99.99,0.0
HGI,15.0,15.0,0.0
HGSD,22.73,22.73,0.0
HGT,0.41,0.41,0.0
HHYX,27.75,27.75,0.0
HILO,13.1,13.1,0.0
HMTA,14.41,14.41,0.0
HOML,8.44,8.44,0.0
HONR,21.92,21.92,0.0
HOVNP,4.4,4.4,0.0
HQBD,48.9555,48.9555,0.0
HQCL,9.84,9.84,0.0
HTGX,25.07,25.07,0.0
HUNT,94.69,94.69,0.0
HUNTU,10.19,10.19,0.0
HUNTW,0.48,0.48,0.0
HYACU,10.65,10.65,0.0
HYDD,17.13,17.13,0.0
IAM,9.77,9.77,0.0
IAMXR,0.46,0.46,0.0
IAMXW,0.25,0.25,0.0
IBCD,24.545,24.545,0.0
IBDB,25.58,25.58,0.0
IBDC,26.02,26.02,0.0
IBDH,25.18,25.18,0.0
IBDK,24.83,24.83,0.0
ICB,18.56,18.56,0.0
ICI,37.01,37.01,0.0
IDSA,1.125,1.125,0.0
IFIX,49.9,49.9,0.0
IGEM,23.6999,23.6999,0.0
IGLD,12.0,12.0,0.0
IGVT,49.09,49.09,0.0
IIJI,9.93,9.93,0.0
IMI,1.18,1.18,0.0
IMMY,5.75,5.75,0.0
IMNP,0.16,0.16,0.0
INDF,31.1001,31.1001,0.0
INDU,9.35,9.35,0.0
INDUW,0.68,0.68,0.0
INP,83.12,83.12,0.0
INR,39.0,39.0,0.0
INXX,11.39,11.39,0.0
IPAS,3.21,3.21,0.0
IPIC,3.53,3.53,0.0
IRDMB,902.91,902.91,0.0
ISDR,9.3,9.3,0.0
ISL,18.74,18.74,0.0
ISRL,119.0,119.0,0.0
ITE,61.37,61.37,0.0
IVENC,99.98,99.98,0.0
IVFGC,100.02,100.02,0.0
IVFVC,99.98,99.98,0.0
IVOP,38.0,38.0,0.0
JBR,1.0,1.0,0.0
JBRI,24.23,24.23,0.0
JEM,29.3227,29.3227,0.0
JHD,9.9,9.9,0.0
JHDG,25.71,25.71,0.0
JJAB,45.87,45.87,0.0
JJCB,43.87,43.87,0.0
JJEB,45.05,45.05,0.0
JJGB,52.0237,52.0237,0.0
JJMB,49.58,49.58,0.0
JJPB,48.6301,48.6301,0.0
JJSB,47.5,47.5,0.0
JJTB,52.92,52.92,0.0
JJUB,47.35,47.35,0.0
JMPB,25.48,25.48,0.0
JMPD,25.82,25.82,0.0
JMT,22.05,22.05,0.0
JMU,0.85,0.85,0.0
JPEH,26.24,26.24,0.0
JPIH,28.32,28.32,0.0
JRJR,0.13,0.13,0.0
JSYNR,0.39,0.39,0.0
JSYNU,12.93,12.93,0.0
JXSB,33.4,33.4,0.0
JYN,52.0,52.0,0.0
KAAC,9.71,9.71,0.0
KAACU,10.43,10.43,0.0
KAACW,1.15,1.15,0.0
KAP,25.39,25.39,0.0
KBLM,10.85,10.85,0.0
KBLMU,10.685,10.685,0.0
KBLMW,0.055,0.055,0.0
KEMP,25.58,25.58,0.0
KMPA,25.15,25.15,0.0
KONE,7.33,7.33,0.0
KOOL,2.81,2.81,0.0
KOR,27.27,27.27,0.0
KST,12.58,12.58,0.0
LACQ,10.4,10.4,0.0
LACQU,9.93,9.93,0.0
LACQW,0.15,0.15,0.0
LALT,21.95,21.95,0.0
LAQ,26.36,26.36,0.0
LBDC,2.425,2.425,0.0
LBIX,1.36,1.36,0.0
LCAHU,10.39,10.39,0.0
LDF,12.14,12.14,0.0
LDRI,24.885,24.885,0.0
LDUR,99.98,99.98,0.0
LEDD,39.51,39.51,0.0
LEXEB,49.4408,49.4408,0.0
LGCYP,13.94,13.94,0.0
LINC,2.5,2.5,0.0
LINDW,5.85,5.85,0.0
LINK,1.95,1.95,0.0
LINU,0.6,0.6,0.0
LLQD,48.99,48.99,0.0
LMLP,2.995,2.995,0.0
LOGO,15.25,15.25,0.0
LOR,9.68,9.68,0.0
LRAD,3.24,3.24,0.0
LRET,8.4,8.4,0.0
LSBK,12.13,12.13,0.0
LSTK,43.37,43.37,0.0
LSVX,16.25,16.25,0.0
LSXMB,36.25,36.25,0.0
LUB,0.84,0.84,0.0
LVIN,28.15,28.15,0.0
LVL,12.3703,12.3703,0.0
MAB,12.17,12.17,0.0
MACQ,10.99,10.99,0.0
MACQU,12.08,12.08,0.0
MAMS,9.03,9.03,0.0
MATF,32.98,32.98,0.0
MATH,32.6617,32.6617,0.0
MBFIO,24.63,24.63,0.0
MBG,26.23,26.23,0.0
MBVX,1.06,1.06,0.0
MELR,18.55,18.55,0.0
MEN,10.17,10.17,0.0
MFCB,12.9,12.9,0.0
MFLA,194.36,194.36,0.0
MICTW,0.031,0.031,0.0
MIDZ,74.3298,74.3298,0.0
MIII,8.37,8.37,0.0
MIIIU,10.5753,10.5753,0.0
MIIIW,0.8799,0.8799,0.0
MIW,12.4,12.4,0.0
MLPC,7.66,7.66,0.0
MLPO,5.2,5.2,0.0
MLPQ,3.7,3.7,0.0
MLPS,13.88,13.88,0.0
MLPZ,3.945,3.945,0.0
MLQD,49.5,49.5,0.0
MLTI,14.75,14.75,0.0
MMDM,10.32,10.32,0.0
MMDMR,0.3,0.3,0.0
MMDMU,10.42,10.42,0.0
MMDMW,0.39,0.39,0.0
MMV,12.64,12.64,0.0
MNI,0.7498,0.7498,0.0
MOC,2.84,2.84,0.0
MOGLC,100.04,100.04,0.0
MOSC,9.9,9.9,0.0
MPAC,10.01,10.01,0.0
MPACU,10.99,10.99,0.0
MPACW,0.73,0.73,0.0
MPVD,0.75,0.75,0.0
MRDNW,0.0512,0.0512,0.0
MTEC,10.22,10.22,0.0
MTECU,10.93,10.93,0.0
MTECW,0.95,0.95,0.0
MTFB,0.105,0.105,0.0
MTFBW,0.0035,0.0035,0.0
MTGEP,25.81,25.81,0.0
MUDS,10.45,10.45,0.0
MUDSU,10.6,10.6,0.0
MYND,1.24,1.24,0.0
MYNDW,0.13,0.13,0.0
NBD,20.25,20.25,0.0
NDRO,3.65,3.65,0.0
NEBUU,11.49,11.49,0.0
NEBUW,1.04,1.04,0.0
NESR,5.11,5.11,0.0
NFO,75.3197,75.3197,0.0
NHLDW,0.08,0.08,0.0
NINI,22.7855,22.7855,0.0
NKG,11.5,11.5,0.0
NMRD,4.94,4.94,0.0
NNC,13.66,13.66,0.0
NQP,12.87,12.87,0.0
NRCIB,53.0,53.0,0.0
NTC,12.04,12.04,0.0
NTX,14.64,14.64,0.0
NVMM,0.67,0.67,0.0
NXEOU,8.85,8.85,0.0
OASI,25.62,25.62,0.0
OASM,1.51,1.51,0.0
OCSLL,25.14,25.14,0.0
OEW,31.63,31.63,0.0
OGCP,8.0,8.0,0.0
OHAI,1.315,1.315,0.0
OHGI,0.08,0.08,0.0
OHRP,3.04,3.04,0.0
OIIL,41.8,41.8,0.0
OILB,64.41,64.41,0.0
OKDCC,99.99,99.99,0.0
OLO,5.36,5.36,0.0
OMAD,9.9,9.9,0.0
OMOM,28.29,28.29,0.0
ONG,19.69,19.69,0.0
ONP,0.85,0.85,0.0
ONS,0.66,0.66,0.0
ONSIZ,0.03,0.03,0.0
OQAL,28.39,28.39,0.0
ORG,19.06,19.06,0.0
ORPN,10.72,10.72,0.0
OSBCP,10.12,10.12,0.0
OSIZ,28.7576,28.7576,0.0
OSLE,25.6322,25.6322,0.0
OVAS,0.76,0.76,0.0
OVLC,31.59,31.59,0.0
OVLU,30.0883,30.0883,0.0
OVOL,27.305,27.305,0.0
OYLD,27.455,27.455,0.0
PAF,53.08,53.08,0.0
PAGG,25.18,25.18,0.0
PBIB,14.06,14.06,0.0
PFK,24.95,24.95,0.0
PGD,50.0,50.0,0.0
PGLC,1.09,1.09,0.0
PGMB,49.8,49.8,0.0
PHII,1.2,1.2,0.0
PLND,17.25,17.25,0.0
PMPT,25.85,25.85,0.0
PNTR,14.26,14.26,0.0
PPLN,16.92,16.92,0.0
PPTB,25.03,25.03,0.0
PRB,24.55,24.55,0.0
PRID,27.2,27.2,0.0
PRKR,0.26,0.26,0.0
PSAU,18.56,18.56,0.0
PTLC,26.98,26.98,0.0
PTM,9.47,9.47,0.0
PUW,23.84,23.84,0.0
PXLG,51.05,51.05,0.0
PXLV,40.29,40.29,0.0
PXMV,31.83,31.83,0.0
PXSV,28.25,28.25,0.0
PXUS,106.29,106.29,0.0
PZI,17.82,17.82,0.0
QCAN,58.93,58.93,0.0
QDEU,62.7099,62.7099,0.0
QGBR,52.299,52.299,0.0
QJPN,80.72,80.72,0.0
QTRH,1.2,1.2,0.0
QXGG,28.2,28.2,0.0
QXMI,25.36,25.36,0.0
QXRR,24.4,24.4,0.0
QXTR,23.95,23.95,0.0
RALS,32.1701,32.17,-0.0
RCOM,28.2769,28.2769,0.0
REEM,24.58,24.58,0.0
REFA,25.2675,25.2675,0.0
REXX,0.77,0.77,0.0
RFT,17.66,17.66,0.0
RGLB,27.3499,27.3499,0.0
RGSE,0.46,0.46,0.0
RIBTW,0.16,0.16,0.0
RILYL,25.29,25.29,0.0
RLJE,6.23,6.23,0.0
ROGS,28.02,28.02,0.0
ROLA,228.79,228.79,0.0
ROSEU,0.6,0.6,0.0
ROSG,0.49,0.49,0.0
RPIBC,100.03,100.03,0.0
RPUT,17.18,17.18,0.0
RTLA,209.9,209.9,0.0
RUSS,9.09,9.09,0.0
RVEN,3.59,3.59,0.0
RWC,3.8,3.8,0.0
RWGE,10.3575,10.3575,0.0
RWW,71.0028,71.0028,0.0
RXIIW,0.28,0.28,0.0
SAGG,28.641,28.641,0.0
SAUC,1.045,1.045,0.0
SBFGP,18.76,18.76,0.0
SBNYW,127.865,127.865,0.0
SBOT,1.16,1.16,0.0
SBRAP,25.39,25.39,0.0
SBV,22.55,22.55,0.0
SCAC,10.28,10.28,0.0
SCACU,10.53,10.53,0.0
SCACW,0.01,0.01,0.0
SCAP,27.085,27.085,0.0
SCTO,27.29,27.29,0.0
SDR,0.226,0.226,0.0
SDT,0.170128,0.170128,0.0
SEA,8.325,8.325,0.0
SENEB,36.2,36.2,0.0
SFLA,214.83,214.83,0.0
SGAR,19.9618,19.9618,0.0
SGB,18.95,18.95,0.0
SGGB,43.41,43.41,0.0
SGQI,27.48,27.48,0.0
SHNY,5.03,5.03,0.0
SIM,6.25,6.25,0.0
SIZ,19.66,19.66,0.0
SKIS,3.87,3.87,0.0
SLIM,33.25,33.25,0.0
SMHD,2.37,2.37,0.0
SMPLW,7.23,7.23,0.0
SNFCA,5.82,5.82,0.0
SNHNL,25.87,25.87,0.0
SOFO,0.62,0.62,0.0
SOHOK,25.2,25.2,0.0
SPCB,1.22,1.22,0.0
SPIL,8.6,8.6,0.0
SPLX,57.48,57.48,0.0
SPTS,30.71,30.71,0.0
SPUN,19.71,19.71,0.0
SQZZ,25.61,25.61,0.0
SRCLP,45.34,45.34,0.0
SRTSW,0.05,0.05,0.0
SSFN,8.83,8.83,0.0
SSWA,24.84,24.84,0.0
SSY,0.8,0.8,0.0
STDY,4.73,4.73,0.0
STLR,9.61,9.61,0.0
STLRU,10.8,10.8,0.0
STLRW,0.2,0.2,0.0
STNL,10.31,10.31,0.0
STNLU,10.31,10.31,0.0
STNLW,0.0044,0.0044,0.0
SWIN,32.96,32.96,0.0
SWJ,12.14,12.14,0.0
SZO,72.26,72.26,0.0
TAO,25.93,25.93,0.0
TAXR,20.565,20.565,0.0
TCBIW,68.2636,68.2636,0.0
TCCA,25.1,25.1,0.0
THST,1.49,1.49,0.0
TIBRU,9.99,9.99,0.0
TIK,3.56,3.56,0.0
TIL,4.04,4.04,0.0
TISA,0.85,0.85,0.0
TMSRW,0.444,0.444,0.0
TPGH,10.5,10.5,0.0
TPIV,8.22,8.22,0.0
TRCB,22.4,22.4,0.0
TTFS,70.26,70.26,0.0
TUZ,50.6,50.6,0.0
TVIZ,8.27,8.27,0.0
TYNS,28.18,28.18,0.0
UAMY,0.36,0.36,0.0
UBC,18.55,18.55,0.0
UBCP,10.25,10.25,0.0
UBM,17.13,17.13,0.0
UBN,9.54,9.54,0.0
UBRT,247.88,247.88,0.0
UDBI,30.98,30.98,0.0
UHN,20.93,20.93,0.0
ULBR,7.91,7.91,0.0
URR,14.01,14.01,0.0
USAG,15.9,15.9,0.0
USOD,7.18,7.18,0.0
USOU,20.93,20.93,0.0
UTLF,24.6601,24.6601,0.0
VBFC,27.6,27.6,0.0
VEAC,10.21,10.21,0.0
VEACU,10.21,10.21,0.0
VEACW,0.01,0.01,0.0
VESH,22.0,22.0,0.0
VII,0.19,0.19,0.0
VIIZ,62.37,62.37,0.0
VRTSP,100.25,100.25,0.0
VXXB,27.03,27.03,0.0
VXZB,17.94,17.94,0.0
VZA,25.7,25.7,0.0
WAFDW,19.99,19.99,0.0
WBAL,23.72,23.72,0.0
WBIA,21.95,21.95,0.0
WBIB,21.81,21.81,0.0
WBIC,18.43,18.43,0.0
WBID,20.94,20.94,0.0
WBIH,21.61,21.61,0.0
WBIR,22.81,22.81,0.0
WDRW,40.76,40.76,0.0
WEAR,20.68,20.68,0.0
WEET,32.55,32.55,0.0
WHFBL,25.16,25.16,0.0
WHLRD,9.25,9.25,0.0
WHLRW,0.0472,0.0472,0.0
WMCR,32.76,32.76,0.0
WMGIZ,0.01,0.01,0.0
WMLP,2.09,2.09,0.0
WMW,34.9,34.9,0.0
WREI,44.9,44.9,0.0
WRLS,2.68,2.68,0.0
WRLSR,0.2188,0.2188,0.0
WRLSW,0.18,0.18,0.0
WSCI,6.99,6.99,0.0
WTFCW,59.6,59.6,0.0
WTID,17.05,17.05,0.0
WTIU,0.2121,0.2121,0.0
WTRX,29.51,29.51,0.0
WVFC,13.57,13.57,0.0
WYDE,33.26,33.26,0.0
XELB,0.75,0.75,0.0
XGTI,0.45,0.45,0.0
XGTIW,3.0,3.0,0.0
XINA,19.68,19.68,0.0
XIVH,13.6445,13.6445,0.0
XKFS,28.3,28.3,0.0
XKII,29.31,29.31,0.0
XKST,30.338,30.338,0.0
XMX,29.81,29.81,0.0
XUSA,28.155,28.155,0.0
XXV,37.9201,37.9201,0.0
YAO,31.1,31.1,0.0
YDIV,17.55,17.55,0.0
YESR,24.38,24.38,0.0
YMLI,12.41,12.41,0.0
YMLP,19.45,19.45,0.0
YRIV,0.66,0.66,0.0
ZAIS,4.07,4.07,0.0
ZBIO,10.0204,10.0204,0.0
ZBK,30.7096,30.7096,0.0
ZIONZ,13.55,13.55,0.0
ZVZZT,9.99,9.99,0.0
BRPM,10.38,10.38,0.0
CTST,0.638,0.638,0.0
CBS-A,43.12,43.12,0.0
CCH,10.47,10.47,0.0
STZ-B,156.67,156.67,0.0
AGM-A,58.74,58.74,0.0
GIX,9.98,9.98,0.0
GSAH,12.88,12.88,0.0
HVT-A,13.34,13.34,0.0
JW-B,38.57,38.57,0.0
TAP-A,63.53,63.53,0.0
OAC,9.97,9.97,0.0
PVTL,15.0,15.0,0.0
RMG,9.98,9.98,0.0
SCPE,9.97,9.97,0.0
SPAQ,10.17,10.17,0.0
SMTA,0.7676,0.7676,0.0
TGE,22.39,22.39,0.0
SHLL,9.94,9.94,0.0
VIST,2.86,2.86,0.0
JFKKU,10.6,10.6,0.0
ACAM,10.0,10.0,0.0
ACAMU,10.25,10.25,0.0
ACTTU,10.59,10.59,0.0
BKCH,24.9,24.9,0.0
AGBA,10.19,10.19,0.0
AGBAU,10.22,10.22,0.0
ANTE,0.75,0.75,0.0
ALACU,10.5,10.5,0.0
ALGR,10.28,10.28,0.0
ALGRU,10.97,10.97,0.0
ANCN,0.9,0.9,0.0
ANDA,10.19,10.19,0.0
ARYA,10.74,10.74,0.0
ATIS,0.1,0.1,0.0
BNTCW,0.0352,0.0352,0.0
BNKL,1.7,1.7,0.0
BIVI,4.44,4.44,0.0
BWMC,10.05,10.05,0.0
BWMCU,11.35,11.35,0.0
BPR,16.31,16.31,0.0
BPRAP,25.05,25.05,0.0
CFFAU,10.9,10.9,0.0
CTAC,12.0,12.0,0.0
CTACU,13.35,13.35,0.0
CIH,1.12,1.12,0.0
SXTC,0.44,0.44,0.0
CMCTP,21.98,21.98,0.0
CPAAU,10.36,10.36,0.0
DDMX,9.1,9.1,0.0
DEAC,17.53,17.53,0.0
DEACU,19.37,19.37,0.0
DPHC,9.95,9.95,0.0
DPHCU,10.0,10.0,0.0
EDTX,21.06,21.06,0.0
EDTXU,21.27,21.27,0.0
EDRY,4.7458,4.7458,0.0
FLLCU,10.15,10.15,0.0
MYFW,12.5,12.5,0.0
FLUX,7.1,7.1,0.0
FTSV,95.51,95.51,0.0
FMCIU,10.86,10.86,0.0
GRSH,11.15,11.15,0.0
GRSHU,11.79,11.79,0.0
GMHIU,10.72,10.72,0.0
GXGXU,10.25,10.25,0.0
HCACU,10.15,10.15,0.0
HCCHU,12.03,12.03,0.0
INSUU,10.39,10.39,0.0
LFACU,10.5281,10.5281,0.0
LOAC,10.5201,10.5201,0.0
LOACU,10.55,10.55,0.0
LK,4.39,4.39,0.0
MNCL,10.19,10.19,0.0
MNCLU,10.35,10.35,0.0
NFINU,10.23,10.23,0.0
HERD,21.4682,21.4682,0.0
PNRL,1.44,1.44,0.0
PDSB,0.95,0.95,0.0
PPHI,10.15,10.15,0.0
PAACU,10.32,10.32,0.0
PACQU,10.4,10.4,0.0
BCNA,20.83,20.83,0.0
RBZ,0.48,0.48,0.0
SAMAU,10.56,10.56,0.0
WORX,5.755,5.755,0.0
SSPKU,10.0476,10.0476,0.0
SLNG,1.75,1.75,0.0
THOR,67.99,67.99,0.0
TZACU,10.4,10.4,0.0
WTER,1.0,1.0,0.0
TIBR,8.32,8.32,0.0
TKKS,6.9,6.9,0.0
TKKSU,9.45,9.45,0.0
TOTAU,10.5,10.5,0.0
TDACU,10.3,10.3,0.0
THCB,10.03,10.03,0.0
THCBU,10.25,10.25,0.0
THCAU,9.99,9.99,0.0
BROG,10.9,10.9,0.0
VISL,0.34,0.34,0.0
WTREP,24.0,24.0,0.0
HHHHU,10.09,10.09,0.0
AEF,5.6,5.6,0.0
MRIC,5.14,5.14,0.0
MLATV.PA,1.35,1.35,0.0
ABO.BR,2.3,2.3,0.0
MLACT.PA,1.16,1.16,0.0
ALDV.PA,0.112,0.112,0.0
ALARF.PA,2.07,2.07,0.0
ALP.PA,10.3,10.3,0.0
AFO.PA,13.0,13.0,0.0
MLAGI.PA,3.46,3.46,0.0
AGTA.PA,67.5,67.5,0.0
MLAIM.PA,2.5,2.5,0.0
ALD.PA,8.9,8.9,0.0
AREIT.PA,470.0,470.0,0.0
ALT.PA,14.77,14.77,0.0
MLALV.PA,0.23,0.23,0.0
MLAAH.PA,0.045,0.045,0.0
ANT.BR,47.0,47.0,0.0
APR.PA,21.9,21.9,0.0
MLARD.PA,100.0,100.0,0.0
ARTO.PA,3560.0,3560.0,0.0
PRC.PA,5.01,5.01,0.0
ASC.BR,44.3,44.3,0.0
MLAEM.PA,1.64,1.64,0.0
